"nerprun","pres","x","y"
"absence",0,248925.450667316,579183.729626862
"absence",0,245218.155503203,574680.316293997
"absence",0,245062.257833239,574491.73444609
"absence",0,245169.076098175,574435.449937361
"absence",0,245019.12327735,574490.632710404
"absence",0,244681.069129736,576674.264745723
"absence",0,244646.480690428,576721.898193034
"absence",0,244639.639127657,576724.152386019
"absence",0,244792.371129644,576522.074488408
"absence",0,244791.324328187,576508.860665395
"absence",0,244783.96649477,576497.114802953
"absence",0,245297.353430054,575843.354254741
"absence",0,245306.424328358,575853.345396896
"absence",0,245406.538695927,575847.728685637
"absence",0,245427.466076495,575874.913337513
"absence",0,245484.30301453,575398.938712162
"absence",0,246352.960887203,574831.855436927
"absence",0,246316.906895688,574826.630303746
"absence",0,240476.250153011,580566.624795016
"absence",0,240450.393737808,580580.735412119
"absence",0,240394.210820642,580553.351335719
"absence",0,242394.871872091,583238.891559118
"absence",0,242241.411362256,583243.76703716
"absence",0,242262.576016638,583243.454650627
"absence",0,242242.521645776,583231.654295861
"absence",0,242223.156795168,583241.455414078
"absence",0,242170.238838998,583223.108524596
"absence",0,242061.123968977,582991.557185528
"absence",0,242055.465330277,582963.693217091
"absence",0,242148.191986686,582827.793179025
"absence",0,242142.389733532,582814.754605304
"absence",0,242107.815662866,582798.67213337
"absence",0,244950.206097131,585329.146167481
"absence",0,244940.262642836,585333.982376502
"absence",0,244859.521882375,585311.554832212
"absence",0,244730.8140031,585305.423504008
"absence",0,244727.330867497,585305.625527427
"absence",0,244759.603414574,585282.816742366
"absence",0,244340.180081617,585150.950582508
"absence",0,244340.614559393,585145.494694846
"absence",0,244352.477226204,585094.9472786
"absence",0,244248.385408838,585092.29671824
"absence",0,244231.489971417,585130.185132598
"absence",0,245191.9119804,585648.787182687
"absence",0,245201.934140852,585651.593524594
"absence",0,245143.600677084,585638.224750689
"absence",0,245035.93750609,585671.649008267
"absence",0,247597.771344484,567057.397121369
"absence",0,247597.629091579,566999.804171769
"absence",0,247601.888196384,566989.717497101
"absence",0,247578.700227309,566898.898880127
"absence",0,247693.169268036,566952.921534921
"absence",0,248804.477922316,566916.193401349
"absence",0,248752.12331951,566882.759945766
"absence",0,249798.506762565,566870.431849078
"absence",0,249781.114857946,566852.385510797
"absence",0,138313.671461664,563487.392242012
"absence",0,138317.234595691,563492.143917436
"absence",0,138332.042764067,563520.740376982
"absence",0,138369.158937257,563538.609872599
"absence",0,138399.662633213,563577.146655791
"absence",0,138335.912762724,563407.55265543
"absence",0,138333.627079978,563404.544469972
"absence",0,138266.968714723,563396.816823202
"absence",0,138170.99041118,563413.938841481
"absence",0,138151.469935139,563413.820291103
"absence",0,138190.949670033,563379.22960089
"absence",0,138212.573026981,563340.950199207
"absence",0,138250.414191742,563336.345064766
"absence",0,138235.359480428,563312.336446635
"absence",0,138242.749176975,563311.511441302
"absence",0,139837.25808648,561881.200949896
"absence",0,139839.118745171,561874.432179833
"absence",0,139836.768954174,561858.420007696
"absence",0,139839.036809719,561843.203040969
"absence",0,139826.365433186,561819.408838233
"absence",0,140498.514638722,560116.063546504
"absence",0,140525.95988434,560075.954182483
"absence",0,140522.268976791,560073.616135968
"absence",0,140497.432053962,560065.281734521
"absence",0,140485.210696401,560061.473130908
"absence",0,140443.112059971,560052.064936431
"absence",0,140426.540432543,560050.455638363
"absence",0,140419.823091656,560046.656350442
"absence",0,140386.570515505,559913.51865917
"absence",0,140385.988751609,559906.624142403
"absence",0,140383.518550282,559876.940198371
"absence",0,140435.959498111,559898.938511711
"absence",0,140460.475545274,559901.983423055
"absence",0,140465.419289871,559898.46139203
"absence",0,140502.813691507,559844.666420295
"absence",0,140581.979492299,559831.841291271
"absence",0,140599.600142353,559879.438914793
"absence",0,140597.992685077,559910.391079238
"absence",0,140599.123865124,559919.185765942
"absence",0,140605.436843316,559926.49758203
"absence",0,140614.506952325,559950.964390262
"absence",0,140670.219424872,558993.743308974
"absence",0,140532.613294483,558934.816532121
"absence",0,140530.233712729,558938.356862797
"absence",0,140522.569468883,558945.245231045
"absence",0,128450.122259498,535492.462231206
"absence",0,128337.469038989,535472.765028828
"absence",0,128709.573297648,534959.292177081
"absence",0,128703.323457646,534960.614725363
"absence",0,128708.140138172,534913.490975292
"absence",0,128704.674982541,534910.637615431
"absence",0,128721.677455926,534913.270447947
"absence",0,136611.584272846,530709.113071395
"absence",0,136588.195777497,530708.234855078
"absence",0,136457.797636229,530697.939145429
"absence",0,136276.327056767,530556.251745767
"absence",0,136244.897416701,530557.025552944
"absence",0,136247.936646622,530790.129283532
"absence",0,136244.401176493,530500.106109574
"absence",0,136239.401771359,530463.486124672
"absence",0,138817.969064122,533319.183001026
"absence",0,139706.436074567,530005.818278666
"absence",0,139673.411983021,530059.762962073
"absence",0,139653.283231814,530110.823151662
"absence",0,139656.602777154,530151.362822104
"absence",0,139571.599633902,530244.294639134
"absence",0,139560.419168631,530253.360973775
"absence",0,139532.47573371,530294.131253973
"absence",0,139417.825958582,530429.249591318
"absence",0,139438.532677268,530585.633275384
"absence",0,139401.846221616,530111.518245597
"absence",0,117795.506540324,547291.921941248
"absence",0,118830.347506232,545335.238751807
"absence",0,118835.345291428,545340.752885624
"absence",0,118869.584530821,545374.903152012
"absence",0,118888.327262925,545399.63474231
"absence",0,118859.127829421,545409.262662915
"absence",0,118907.306867144,545314.267482328
"absence",0,118903.722305054,545309.891858236
"absence",0,118892.090801798,545299.827333926
"absence",0,119497.793317703,543352.122367211
"absence",0,119487.870570166,543360.805067125
"absence",0,119544.032747946,543337.864636266
"absence",0,119550.948228674,543340.227686721
"absence",0,119578.619064573,543342.648487211
"absence",0,119604.453024248,543359.69744192
"absence",0,119608.975299184,543364.446018612
"absence",0,119625.356506627,543375.54606642
"absence",0,119650.971960311,543391.227919961
"absence",0,119663.110433816,543403.604343234
"absence",0,119608.059465588,543475.706663768
"absence",0,124439.189138894,549061.149274543
"absence",0,124429.970501066,549061.069695985
